Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2009,6/30/09,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred,Partly Cloudy,CAPTIVA  DREAMIN,LAVERN A. BOWMAN, ,Captiva Dreamin-Tr. Lavern Bowman-reared in gate-head laceration-back in training, 
2009,9/21/09,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,SIR JUSTIN,JAMES T. WRIGHT, ,Sir Justin-Tr. James Wright-reared at start-unseated rider-no injuries to jockey or horse,Accident
2009,11/26/09,ACCIDENT - IN STARTING GATE,Aqueduct Racetrack (NYRA),After start of 2nd.race.,Racing,Thoroughbred,Cloudy,Saumon Fume,PATRICK J. QUICK, ,Saumon Fume-Tr. Patrick Quick-stumbled and unseated rider-both horse and rider were unhurt,Accident
2009,11/5/09,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,ROSCOMMON EXPRESS,STEPHEN T. O'CONNOR, ,Roscommon Express-Tr. Stephen O'Connor-lunged at start-unseated jockey-no injuries reportd,Accident
2009,11/13/09,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,DEVILISH DEAL,RALPH D'ALESSANDRO, ,Devilish Deal-Tr. R. D'Alessandro-Stumbled at start-unseated rider-no injuries reported, 
2010,5/17/10,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,Starting Gate,Racing,Thoroughbred,Overcast,FREUD IAN THEORY,MICHAEL A. LECESSE, ,Freud Ian Theory-Tr. Michael Lecesse-stumbled unseating rider-no injuries reported,Accident
2010,11/13/10,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,Starting Gate,Racing,Thoroughbred, ,WESTERN DEED,RALPH D'ALESSANDRO,JOSE  (DAVID) D. OSORIO,Western Deed-Tr. Ralph D'Alessandro-stumbled unseating rider-no injuries reported,Accident
2010,7/15/10,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,Starting Gate,Racing,Thoroughbred,Overcast,RASCAL PICK,JOSEPH J. RAPOSA, ,Rascal Pick-Tr. Joseph Raposa-fractious gate-minor injuries-scratched-horse fine,Injury
2011,4/8/11,ACCIDENT - IN STARTING GATE,Aqueduct Racetrack (NYRA),Starting Gate,Racing,Thoroughbred,Cloudy 43*,Deflate the Bubble,RICHARD A. VIOLETTE JR,JOSE A. VALDIVIA,Deflate the Bubble-Tr. Richard Violette-kicked after another horse flipped-both horses scratched-LF superficial scraps-treated and fine,Accident
2011,5/3/11,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,Starting gate,Racing,Thoroughbred, ,FLORIDIAN MAK,BRYAN R. ARMSTRONG,OSCAR D. GOMEZ,Floridian Mak-Tr.  Brian Armstrong-broke through gate unseating rider-no injuries reported,Accident
2011,5/15/11,ACCIDENT - IN STARTING GATE,Belmont Park (NYRA),Starting gate,Racing,Thoroughbred,60* Showers,Caught My Heart,SETH P. BENZEL,ALEX O. SOLIS,Caught My Heart-Tr. Seth Benzel-unseated rider-vanned off-bruised R hip-horse ok-no injury to rider,Injury
2011,4/8/11,ACCIDENT - IN STARTING GATE,Aqueduct Racetrack (NYRA),Starting gate,Racing,Thoroughbred,48* Cloudy,A Wink and a Smile,KELLY J. BREEN,DAVID COHEN,A Wink and a Smile- Tr. Kelly Breen-flipped in gate-kicked another horse-both horses scratched-horse sustained superficial wounds-treated & given 3 days off,Accident
2011,7/30/11,ACCIDENT - IN STARTING GATE,Saratoga Racecourse (NYRA),Main Track/Starting Gate,Racing,Thoroughbred,Sunny 80-85*,Tinto,TAMZEN T. JOHNSON,JAIME RODRIGUEZ,Zeppe-Tr. Richard Demola-reared & fell kicking Tinto-Tr. Tamzen Johnson-both horses scratched,Accident
2011,10/15/11,ACCIDENT - IN STARTING GATE,Belmont Park (NYRA),Gate,Racing,Thoroughbred, ,Concorde County,BRUCE F. ALEXANDER,EDDIE CASTRO,Concorde County-Tr. Bruce Alexander-flipped in gate-scratched-light trauma/soreness,Accident
2011,11/4/11,ACCIDENT - IN STARTING GATE,Aqueduct Racetrack (NYRA),"Main Track, Starting gate",Racing,Thoroughbred,Clear 50 to 55 : degrees F,Recurring Dream,CARLOS F. MARTIN,ARIEL E. SMITH,Recurring Dream -Tr. Carlos Martin- flipped in gate-scratched-walked off track-no injuries reported,Accident
2012,5/22/12,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,"Main Track, Gate",Racing,Thoroughbred,,Call Tiger,JAMES G. KETTELL,EMANUEL DE DIEGO,Call Tiger-Tr. James Kettell-horse's head trapped between bars & started late-declared non-starter-no injuries reported,Accident
2012,2/16/12,ACCIDENT - IN STARTING GATE,Aqueduct Racetrack (NYRA),"Inner Track, Starting gate",Racing,Thoroughbred,Rain 40 to 45 : degrees F,Zippy Kitty,ASSAF RONEN,DENNIS CARR,Zippy Kitty-Tr. Assaf Ronen-flipped in gate-scratched-no injuries reported,Steward's List
2012,2/11/12,ACCIDENT - IN STARTING GATE,Aqueduct Racetrack (NYRA),"Inner Track, Starting gate",Racing,Thoroughbred,Cloudy 30 to 40 : degrees F,King Kreesa,JEREMIAH C. ENGLEHART,MICHAEL J. LUZZI,King Kreesa-Tr. Chris Englehart-reared in gate-getting momentarily caught-scratched-sustained minor scrapes,Injury
2011,10/1/11,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,Starting gate/finish line,Racing,Thoroughbred, ,ZOW,TODD A. PLETCHER,ELVIS R. TRUJILLO,Zow-Tr. Todd Pletcher-stumbled unseating rider-flipped over rail-cuts L rear leg-shipped to Cornell for further care,Accident
2011,10/15/11,ACCIDENT - IN STARTING GATE,Belmont Park (NYRA),Starting Gate,Racing,Thoroughbred,Partly cloudy,Pernice,WILLIAM H. TURNER,JOSE L. ESPINOZA,Pernice-Tr. William Turner  Jr.-startled-broke through gate-scratched-no injuries reported,Accident
2011,11/15/11,ACCIDENT - IN STARTING GATE,Belmont Park (NYRA),Gate,Racing,Thoroughbred, ,Pernice,WILLIAM H. TURNER,JOSE L. ESPINOZA,Concorde County-Tr. Bruce Alexander-flipped in gate-scratched-light trauma/soreness,Accident
2013,11/3/13,ACCIDENT - IN STARTING GATE,Aqueduct Racetrack (NYRA),Starting Gate,Racing,Thoroughbred, ,Sinistra,KARL M. GRUSMARK,MICHAEL J. LUZZI,Sinistra-Tr. Karl Grusmark-flipped in gate unseating  jockey-scratched-walk off track-, 
2010,4/15/10,ACCIDENT - ON TRACK,Aqueduct Racetrack (NYRA),3/8 pole on turf course,Racing,Thoroughbred,*70,Mount Karakouram,JEFFREY K. ODINTZ, ,Mount Karakouram-Tr. Jeffrey Odintz-fell over another horse unseating rider-body soreness-horse ok after few days-rider uninjured,Accident
2009,11/22/09,ACCIDENT - ON TRACK,Aqueduct Racetrack (NYRA),Leaving the starting gate.,Racing,Thoroughbred, ,Ship of Fools,LUIS A. CHIARI, ,Ship of Fools-Tr. Luis Chiari-struck by another horse-unseated rider-horse OK & resting at farm-jockey treated & released, 
2010,7/6/10,ACCIDENT - ON TRACK,Finger Lakes Gaming & Racetrack,1/2 pole,Racing,Thoroughbred,Sunny,BARCO,JOSE A. CABRERA,CHARLIE AMARO,Barco-Tr.Jose Cabrera-fell over fallen horse-jockey bruised-horse suffered no injuries,Accident
2010,7/6/10,ACCIDENT - ON TRACK,Finger Lakes Gaming & Racetrack,1/2 Pole,Racing,Thoroughbred,Sunny,ONE LITTLE SECRET,GLENN I. BURNETT,JOSE A. GUTIERREZ,One Little Secret-Tr. Glenn Burnett-fell over fallen horse-jockey suffered sprained wrist-horse uninjured,Accident
2011,2/13/11,ACCIDENT - ON TRACK,Aqueduct Racetrack (NYRA),3/8 Pole,Racing,Thoroughbred,Clear 40*,Soft Parade,DANIEL H. CONWAY JR,NAZARIO A. ALVARADO,Soft Parade-Tr. Daniel H. Conway  Jr.-struck a fallen foe unseating rider-minor scratches-horse fine-rider uninjured,Accident
2011,2/13/11,ACCIDENT - ON TRACK,Aqueduct Racetrack (NYRA),3/8 Pole,Racing,Thoroughbred,Clear 40*,Trinity Warrior,RODRIGO A. UBILLO,ABEL LEZCANO,Trinity Warrior-Tr. Rodrigo Ubillo-struck fallen foe unseating rider-minor cuts and bruises-horse ok-rider uninjured,Accident
2010,8/30/10,ACCIDENT - ON TRACK,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred,Sunny,FOR B AND W,LUIS HUERTAS,EZEQUIEL PEREZ,For B and W-Tr. Luis Huertas-fell unseating rider (Perez)-startled horse Wise Pitch who threw his rider-no injuries to horses-Perez to hospital,Accident
2011,2/13/11,ACCIDENT - ON TRACK,Aqueduct Racetrack (NYRA),3/8 Pole,Racing,Thoroughbred,Clear 40*,Rightuplynn'salley,RICHARD E. SCHOSBERG,BRIAN A. PEDROZA,Rightuplynn'salley-Tr. Richard Schosberg-struck fallen foe unseating rider-horse uninjured-rider to hospital,Accident
2012,8/18/12,ACCIDENT - ON TRACK,Saratoga Racecourse (NYRA),"Oklahoma Training Track, Gap",Training,Thoroughbred,Partly Cloudy 70 to 75 : degrees F,Jackson Bend,NICHOLAS P. ZITO,CARLOS J. CORREA,Jackson Bend-Tr. Nick Zito-knocked over by bolting horse-ambulanced off-apparent shock-responded to therapy-under observation,Steward's List
2014,12/4/14,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/8 Pole,Racing,Thoroughbred, ,Warrior's Hero, ,RUBEN SILVERA,Warrior's Hero-Tr. Mike Wilson-pulled up-ambulanced off-rider off-xrays revealed fx R carpus-euthanized,Equine Death
2009,3/5/09,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Clear & Cold,Sigh You, , ,Sigh You-Tr. Patrick Kelly-Euthanasia-Left Front Sesamoid FX, 
2009,3/4/09,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,Private Details,JOHN P. TERRANOVA II, ,Private Details-Tr. John Terranova-fell on track-fx LF cannon bone-euthanized,Euthanasia
2009,4/21/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred, ,Roaring Spouse,DOROTHY A. GENTNER, ,Roaring Spouse-Tr. Dorothy Gentner-LF fetlock lateral condylar fx-euthanized, 
2009,4/25/09,EQUINE DEATH,Aqueduct Racetrack (NYRA),Wire - first time,Racing,Thoroughbred,Clear,Cloud Nine,DAVID P. DUGGAN, ,Cloud Nine-Tr. David Duggan-fx R hind cannon bone-euthanized, 
2009,5/31/09,EQUINE DEATH,Belmont Park (NYRA),After 1/4 pole,Racing,Thoroughbred,Sunny,Sassification,MICHAEL J. JABLOW, ,Sassification-Tr. Michael Jablow-LF sesamoid fx-euthanized,Euthanasia
2009,5/7/09,EQUINE DEATH,Belmont Park (NYRA),Barn #10,Racing,Thoroughbred,Overcast,Precious Kiss,THOMAS ALBERTRANI, ,Precious Kiss-Tr. Thomas Albertrani-LF sesamoids fx-euthanized,Death
2009,4/28/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred, ,Even Par,SAMUEL J. KEYROUZE, ,EVEN PAR-Tr. Samuel Keyrouse-fx left cannon bone-euthanized,Equine Death
2009,5/20/09,EQUINE DEATH,Belmont Park (NYRA),Paddock,Racing,Thoroughbred,Clear,City On Line,HARRY A. JERKENS, ,City On Line-Tr. Harry Jerkens-unseated rider ran to paddock & hit statue-L femur fx-euthanized,Equine Death
2009,5/28/09,EQUINE DEATH,Belmont Park (NYRA),Wire,Racing,Thoroughbred,cloudy,Sammy's Toy,TIMOTHY S. RITVO, ,Sammy's Toy-Tr. Tim Ritvo-sesamoid fractures & suspensory rupture-euthanized,Euthanasia
2009,5/15/09,EQUINE DEATH,Belmont Park (NYRA),3/8 pole,Racing,Thoroughbred,Cloudy,Deferredretirement,FAUSTINO F. RAMOS, ,Deferredretirement-Tr. Faustino Ramos-RF sesamoid fx-euthanized,Euthanasia
2009,4/17/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes,Racing,Thoroughbred, ,Speedball Howie,RAFAEL G. ROHENA SR, ,Speedball Howie-Tr. Rafael Rohen  Sr.-suffered knee injury-xray showed fx knee-euthanized 10 days later 4/27/09,Injury
2009,6/5/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred, ,Munro Bank,RAFAEL G. ROHENA SR, ,Munro Bank-Tr. Rafael G Rohena Sr.-fx-lame-surgery not an option-euthanized,Equine Death
2009,6/21/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES RACETRACK,Racing,Thoroughbred,RAIN,I'M A BELIEVER,OSCAR S. BARRERA JR, ,I'm A Believer-Tr. Oscar Barrera  Jr.-sustained fx 3rd carpal bone- euthanized,Equine Death
2009,6/27/09,EQUINE DEATH,Belmont Park (NYRA), ,Racing,Thoroughbred, ,Cape Marco,NICHOLAS P. ZITO, ,Cape Marco-Tr. Nick Zito-ruptured artery/torn ligaments-euthanized,Euthanasia
2009,7/12/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,ALIE'S GALAXY,JAMES T. WRIGHT, ,Alie's Galaxy-Tr. James Wright-flipped in paddock-severe head trauma-euthanized,Euthanasia
2009,7/13/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES RACE TRACK,Racing,Thoroughbred,Sunny,TOP OF THE SEVENS,CHRISTOPHER J. ENGLEHART, ,Top of the Sevens-Tr. C. Englehart-fx LF leg-euthanized,Euthanasia
2009,6/30/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,A P GRACIE,KARL M. GRUSMARK, ,A P Gracie-Tr. Karl Grusmark-RH leg fx-euthanized,Euthanasia
2009,6/20/09,EQUINE DEATH,Belmont Park (NYRA),Belmont Barn #37,Racing,Thoroughbred,Clouds & Sun,Hi Daddy,LEAH A. GYARMATI, ,Hi Daddy-Tr. Leah Gyarmati-Died after raced-Cardiovascular Collapse,Equine Death
2009,7/1/09,EQUINE DEATH,Belmont Park (NYRA),Wire then Barn 10 Aqueduct,Racing,Thoroughbred,Clouds & Sun,Big Stack,RICHARD E. DUTROW JR, ,Big Stack-Tr. Richard Dutrow-RF sesamoid fxs-euthanized,Euthanasia
2009,9/26/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred,Sunny,JOHNNY BE ANGRY,JAMES S. ACQUILANO, ,Johnny Be Angry-Tr. James Acquilano-fx 3rd carpal bone-euthanized,Euthanasia
2009,9/22/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,SWEET AND CLEAR,CHRISTOPHER J. ENGLEHART, ,Sweet and Clear-Tr. Christopher Englehart-fx L 3rd carpal bone-euthanized,Euthanasia
2009,8/2/09,EQUINE DEATH,Saratoga Racecourse (NYRA),Paddock,Racing,Thoroughbred,Cloudy,It's My Day,ROBERT J. REINACHER, ,It's My Day-Tr. Robert Reinacher-Flipped in Paddock  fx skull and died,Equine Death
2009,7/28/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,UOMO GRANDE,BRUCE D. ANDERSON, ,Uomo Grande-Tr. Bruce Anderson-Fx L carpus-euthanized,Euthanasia
2009,9/7/09,EQUINE DEATH,Saratoga Racecourse (NYRA),1/8 pole,Racing,Thoroughbred,Clear,Todo K,TIMOTHY S. RITVO, ,Todo K-Tr. Timothy Ritvo-injury RF pastern-euthanized,Euthanasia
2009,8/4/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,STORM'S A COMIN,JASON F. GILIFORTE, ,Storm's A Comin-Tr. Jason Giliforte-LF fetlock-ruptured suspensory-biaxial sesamoid fx-euthanized,Euthanasia
2009,9/16/09,EQUINE DEATH,Belmont Park (NYRA),Belmont,Racing,Thoroughbred, ,Hard to explain,CHAD C. BROWN, ,Hard to Explain-Tr. Chad Brown-fx pelvis-euthanized,Euthanasia
2009,10/9/09,EQUINE DEATH,Belmont Park (NYRA),1/2 mile pole,Racing,Thoroughbred,Partly cloudy,Tony Manero,CHAD C. BROWN, ,Tony Manero-Tr. Chad Brown-fx RF cannon bone-euthanized,Equine Death
2009,9/6/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,DON'T DO THAT BABY,JARED A. SCHOENEMAN, ,Don't Do That Baby-Tr. Jared Schoeneman-fx R foreleg-euthanized,Euthanasia
2009,10/8/09,EQUINE DEATH,Belmont Park (NYRA),After finish.,Racing,Thoroughbred,Clear,Flint River,CHRISTOPHER CLEMENT, ,Flint River-Tr. Christopher Clement-fx RH cannon bone  sesamoids-euthanized,Euthanasia
2009,9/11/09,EQUINE DEATH,Belmont Park (NYRA),After 4th.race,Racing,Thoroughbred, ,West Hampton,DARRELL W. LUKAS, ,West Hampton-Tr. Darrell Lukas-fx RF sesamoids-euthanized,Euthanasia
2009,9/3/09,EQUINE DEATH,Saratoga Racecourse (NYRA),1/16 pole.,Racing,Thoroughbred,Clear,Possessive,MARK A. HENNIG, ,Possessive-Tr. Mark Hennig-fx RF sesamoids-euthanized,Euthanasia
2009,7/26/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,I KNOW IT'S TRUE,SALVATORE . IORIO JR, ,I Know It's True-Tr. Salvatore Iorio  Jr.-LM sesamoid fx-euthanized,Euthanasia
2009,7/29/09,EQUINE DEATH,Saratoga Racecourse (NYRA),3/4 Pole,Racing,Thoroughbred,Cloudy,Alexandros,DELMER W. CARROLL II, ,Alexandros-Tr. Delmer Carroll II-fx both RF sesamoids-Euthanized,Equine Death
2009,10/9/09,EQUINE DEATH,Belmont Park (NYRA),5 Furlong marker,Racing,Thoroughbred,Partly cloudy,Exotic Indy,GRANT T. FORSTER, ,Exotic Indy-Tr. Grant Forster-unseated rider-pulled up-fx LH cannon bone-euthanized,Euthanasia
2009,10/3/09,EQUINE DEATH,Belmont Park (NYRA),1/9 pole,Racing,Thoroughbred,Rain,Pappy's Double H,DAVID W. PRINE, ,Pappy's Double H-Tr. David Prine-suffered fx LF leg & fx neck-died on track,Equine Death
2009,10/9/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred,Cloudy Mist,SIR WINZALOT,ALEXANDER J. MARTINEZ, ,Sir Winzalot-Tr. Alexander Martinez-fx L forelimb-euthanized,Euthanasia
2010,5/7/10,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Racing,Thoroughbred,70* Clear,Enchanted Storm,JAMES T. RYERSON, ,Enchanted Storm-Tr. James Ryerson-fell & fx RF leg-euthanized-rider uninjured,Euthanasia
2010,2/15/10,EQUINE DEATH,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred, ,Suddenly I See,DAVID J. SMITH, ,Suddenly I See-Tr. David Smith-fx LFM sesamoid-euthanized,Euthanasia
2010,6/10/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,FOUR STAR BO,OSCAR S. BARRERA JR, ,Four Star Bo-Tr. Oscar Barrer  Jr.-3rd carpal slab fx R leg-euthanized,Euthanasia
2010,4/30/10,EQUINE DEATH,Belmont Park (NYRA),1/8 pole,Racing,Thoroughbred,65* Sunny,Way to Karakorum,JEFFREY K. ODINTZ, ,Way to Karakorum-Tr. Jeffrey Odintz-fx both RF sesamoids-euthanized,Euthanasia
2009,11/27/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,FIGGY'S FREUD,TIMOTHY P. MURPHY, ,Figgy's Freud-Tr. Timothy Murphy-fx RF sesamoid-euthanized,Euthanasia
2010,6/23/10,EQUINE DEATH,Belmont Park (NYRA),1/4 pole,Racing,Thoroughbred,Clear 93*,Left Tee,JOSEPH S. PANTALEO, ,Left Tee-Tr. Joseph Pantaleo-fx LFM sesamoid-euthanized,Euthanasia
2010,1/13/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct Race  Track,Racing,Thoroughbred,Clear,Wild Conga,WILLIAM BADGETT JR, ,Wild Conga-Tr. William Badgett-fx LF knee-euthanized two days after race,Euthanasia
2010,6/17/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,1/8 Pole,Racing,Thoroughbred, ,CHELSEA'S PRIME,LINDA K. DIXON, ,Chelsea's Prime-Tr. Linda Dixon-L carpal slab fx-euthanized,Euthanasia
2010,6/5/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,DARLIN BY DAY,JAMES S. ACQUILANO, ,Darlin by Day-Tr. James Acquinlano-fx RF Leg-euthanized,Euthanasia
2009,11/26/09,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/4 pole,Racing,Thoroughbred,Cloudy,Tobruk,GARY J. SCIACCA, ,Tobruk-Tr. Gary Sciacca-fx RH cannon  sesamoids-euthanized,Euthanasia
2010,5/13/10,EQUINE DEATH,Belmont Park (NYRA),Barn 47,Racing,Thoroughbred,N/A,Smokey Eyes,CARLOS F. MARTIN, ,Smokey Eyes-Tr. Carlos Martin-post op complications from LH leg injury sustained in 2/18/10 race-developed infection-euthanized 5/11/10,Euthanasia
2010,4/3/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,El Rocco,BRUCE N. LEVINE, ,El Rocco-Tr. Bruce Levine-ambulanced off-L carpal slab fx-euthanized,Euthanasia
2009,11/29/09,EQUINE DEATH,Aqueduct Racetrack (NYRA),After the wire,Racing,Thoroughbred,Sunny,Archaround,GLENN B. DISANTO, ,Archaround-Tr. Glenn DiSanto-fx RF leg-euthanized,Euthanasia
2009,11/5/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,LEGAL CALL,MICHAEL A. LECESSE, ,Legal Call-Tr. Michael Lecesse-frontal slab fx 3rd carpal bone-euthanized,Euthanasia
2010,6/17/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,MAJOR STAR,MICHAEL S. FERRARO, ,Major Star-Tr. Michael Ferraro-fx R 3rd carpal bone-euthanized,Euthanasia
2009,10/9/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,INSTITUTIONALIZED,CHRISTOPHER J. ENGLEHART, ,Institutionalized-Tr. Christopher Englehart-injury LH limb-euthanized,Euthanasia
2009,11/28/09,EQUINE DEATH,Aqueduct Racetrack (NYRA),After finish.,Racing,Thoroughbred,Clear,Smokin Gladiator,CHRISTOPHER J. ENGLEHART, ,Smokin Gladiator-Tr. Christopher Englehard-pulled up-fx L knee-ambulanced off-euthanized,Euthanasia
2009,10/18/09,EQUINE DEATH,Belmont Park (NYRA),After finish,Racing,Thoroughbred,Rain,Zoomster,PATRICK J. KELLY, ,Zoomster-Tr. Patrick Kelly-fx LF pastern-euthanasia,Euthanasia
2010,3/11/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/4 pole,Racing,Thoroughbred,Cloudy,Golden Caesar,PATRICK J. KELLY, ,Golden Caesar -Tr. Pat Kelly-fx both RF sesamoids-euthanized,Euthanasia
2010,3/4/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 pole.,Racing,Thoroughbred,Cloudy,San Naa,JOHN T. TOSCANO JR, ,San Naa-Tr. John Toscano-fx both RF sesamoids-euthanized,Euthanasia
2010,2/25/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Snow,Badgette,JOHN T. TOSCANO JR, ,Badgette-Tr. John Toscano-fx RF leg-euthanized,Euthanasia
2009,10/21/09,EQUINE DEATH,Belmont Park (NYRA), ,Racing,Thoroughbred,Cloudy,Tickle Monster,TIMOTHY S. RITVO, ,Tickle Monster-Tr. Timothy Ritvo-fx LF knee-euthanized,Euthanasia
2010,2/15/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/4 pole - 9th. Race,Racing,Thoroughbred,Clear,Thousand Excuses,MIKE J. MAKER, ,Thousand Excuses-Tr. Mike Maker-fx LF cannon bone-euthanized,Euthanasia
2010,1/18/10,EQUINE DEATH,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred, ,Freefourme,MIKE J. MAKER, ,Freefourme-Tr. Mike Maker-fx LF cannon bone-euthanized,Euthanasia
2010,1/7/10,EQUINE DEATH,Belmont Park (NYRA),Barn/Stall,Racing,Thoroughbred, ,Big Grey,BRUCE R. BROWN, ,Big Grey-Tr. Bruce Brown-post-op complications for 1/7/10 racing injury-euthanized 1 month later,Euthanasia
2010,4/8/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Cloudy 60*,Coal Baron,BRUCE R. BROWN, ,Coal Baron-Tr. Bruce Brown-pulled up and fell-ambulanced off-fx L humerus-euthanized,Euthanasia
2010,1/10/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct Race Track,Racing,Thoroughbred, ,Leo (GB),DAVID P. DUGGAN, ,Leo-Tr. David Duggan-pulled up-fx both LF sesamoids-euthanized,Euthanasia
2010,4/24/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred,70's clear,Prince of Iron,BERNARDO J. CALLEJAS, ,Prince Of Iron-Tr. Bernardo Callejas-ruptured LH suspensory-euthanized,Euthanasia
2010,4/15/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 pole on Turf Course,Racing,Thoroughbred,70* Clear,Long Con,EDWARD LOTRUGLIO, ,Long Con-Tr. Edward Lotuglio-fell& another horse fell over him-fx R humerus-euthanized,Euthanasia
2010,6/18/10,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,TIMEOUTFORTHEJUDGE,FELIX O. MONSERRATE, ,Timeoutforthejudge-Tr. Felix Monserrate-fx R ankle-Euthanized,Euthanasia
2009,10/27/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,PHONE MY MANAGER,FELIX O. MONSERRATE, ,Phone My Manager-Tr. Felix Monserrate-fx LM sesamoid-euthanized,Equine Death
2009,11/30/09,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,FEDERAL DEPOSIT,MARIALICE COFFEY, ,Federal Deposit-Tr. Marialice Coffey-fx R leg-euthanized,Euthanasia
2009,11/13/09,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 pole,Racing,Thoroughbred,Cloudy,Mew's Victory,VIRGINIA VERDECANNA, ,Mew's Victory-Tr. V. Verdecannap-LFL condylar fx-ambulanced off-euthanized,Euthanasia
2010,1/23/10,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/8 pole,Racing,Thoroughbred, Clear,Honest Wildcat,MARK A. HENNIG, ,Honest Wildcat-Tr. Mark Hennig-fell-ambulanced off-x-ray revealed fx RF biaxial sesamoids-euthanized,Euthanasia
