Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2012,8/15/12,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),"Inner Turf, Finish of Race",Racing,Thoroughbred,Mostly Cloudy 80 to 85 : degrees F,Dual Mandate,TERESA M. POMPAY,RAJIV C. MARAGH,Dual Mandate-Tr. Terry Pompay-pulled up-ambulanced off-horse bled-convalescing,Steward's List
2011,9/20/11,STEWARDS/VETS LIST,Finger Lakes Gaming & Racetrack,First turn,Racing,Thoroughbred, ,SARATOGA WARRIOR,MICHAEL A. LECESSE,LUIS E. PEREZ,Saratoga Warrior-Tr. Michael Lecesse-pulled up-Lame left hind leg-must requalify,Lameness
2012,9/22/12,STEWARDS/VETS LIST,Belmont Park (NYRA),Finish,Racing,Thoroughbred,Cloudy,My Brother Rudy,JOSEPH A. LOSTRITTO,JULISSA LAREDO,My Brother Rudy-Tr. Joseph Lostritto-eased up-walked off track-no injury reported-must re-qualify,Steward's List
2012,4/5/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Aqueduct Turf, Starting Gate",Racing,Thoroughbred,Clear 60 to 65 : degrees F,Star Lillie,DAVID G. DONK,IRAD ORTIZ JR,Star Lillie-Tr. David Donk-reared and hit hind end-scratched-walked off track-horse ok & still training,Steward's List
2012,8/17/12,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),After Finish,Racing,Thoroughbred, ,Stack the Storm,JONATHAN E. SHEPPARD,ANNA (ROSIE) R. NAPRAVNIK,Stack the Storm-Tr. Jonathan Sheppard-pulled up-ambulanced off-no injuries reported-resumed training,Steward's List
2012,8/23/12,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),"Inner Turf, 10TH FENCE",Racing,Thoroughbred,Clear 80 to 85 : degrees F,Divine Fortune,JONATHAN E. SHEPPARD,BRIAN CROWLEY,Divine Fortune-Tr. J. Sheppard- fell unseated rider/Left Unsaid-Tr. T. Voss-fell over fallen horse-no injuries to horses or riders reported,Steward's List
2012,12/27/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Inner Track, First Turn",Racing,Thoroughbred,Mostly Cloudy 30 to 40 : degrees F,The Kenosha Kid,CHRISTOPHER J. ENGLEHART,PABLO MORALES,The Kenosha Kid-Tr. Christopher Englehart-bolted to outside-pulled up-walked off-no injuries reported,Steward's List
2012,10/21/12,STEWARDS/VETS LIST,Belmont Park (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,,Powhatan County,CHRISTOPHER J. ENGLEHART,RAJIV C. MARAGH,Powhatan County-TR Christopher Englehart-ambulanced off-no injuries reported,Steward's List
2012,8/16/12,STEWARDS/VETS LIST,Finger Lakes Gaming & Racetrack,"Main Track, Gate-1st Turn",Racing,Thoroughbred,Sunny 75 to 80 : degrees F,Life's Precious,CHRISTOPHER J. ENGLEHART,JOHN R. DAVILA,Life's Precious-Tr. Chris Englehart-pulled up-walked off track-possibly pulled muscle L hip-must requalify,Steward's List
2012,3/24/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,Sunny 55 to 60 : degrees F,Wetzel,CHRISTOPHER J. ENGLEHART,CORNELIO VELASQUEZ,Wetzel-Tr. Neal Terracciano-pulled up-ambulanced off-old L knee fx-horse walking,Steward's List
2011,10/19/11,STEWARDS/VETS LIST,Belmont Park (NYRA),1/4 Pole,Racing,Thoroughbred,Rain 50-60*,Girl of Pangaea,SCOTT J. VOLK,JOSE LEZCANO,Girl of Pangaea-Tr. Scott Volk-ambulanced off-did not like muddy track-no injuries reported- retired, 
2012,6/30/12,STEWARDS/VETS LIST,Belmont Park (NYRA),"Inner Turf, Finish of Race",Racing,Thoroughbred,Hazy above 90 : degrees F,Stormy Success,JOHN T. TOSCANO JR,JOSE (CARLOS) C. MONTALVO,Stormy Success-Tr. John Toscano-pulled up-ambulanced off-grabbed L quarter-back in training,Steward's List
2011,9/5/11,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),3/8 pole,Racing,Thoroughbred,68* cloudy,J C's Pride,ROBERT A. BARBARA,JOSE LEZCANO,J C's Pride-Tr. Robert Barbara-bumped another horse-pulled up-ambulanced off-bruise R ankle,Steward's List
2013,1/13/13,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Inner Track, AT THE START ",Racing,Thoroughbred,Mostly Cloudy 55 to 60 : degrees F,MAC'S INK,ROBERT A. BARBARA,PABLO MORALES,Mac's Ink-Tr. Robert Barbara-stumbled at start- grabbed left quarter- unseating rider,Steward's List
2012,5/9/12,STEWARDS/VETS LIST,Finger Lakes Gaming & Racetrack,"Main Track, Finish of Race",Racing,Thoroughbred,,Touchdowntony,DANIEL H. CONWAY JR,JOEL CRUZ,Touchdowntony-Tr. Daniel Conway-pulled up-ambulanced off-LR lameness,Steward's List
2012,12/13/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Inner Track, 1/4 Pole",Racing,Thoroughbred,Partly Cloudy 30 to 40 : degrees F,Shea Goodbye,KARL M. GRUSMARK,JACQUELINE A. DAVIS,Shea Goodbye-Tr. Karl Grusmark-pulled up-ambulanced off-apparent locked stifle but fine-must requalify,Equine Injury
2011,10/3/11,STEWARDS/VETS LIST,Finger Lakes Gaming & Racetrack,3/8 Pole,Racing,Thoroughbred, ,ONE FORTY,JONATHAN B. BUCKLEY,RODOLFO IGNACIO,One Forty-Tr. Jonathan Buckley-pulled up-ambulanced off-lame L hind-referred to vet for re-examination,Steward's List
2013,1/13/13,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Inner Track, Finish of Race",Racing,Thoroughbred,Mostly Cloudy 50 to 55 : degrees F,Opus A,RICHARD A. VIOLETTE JR,RAMON A. DOMINGUEZ,Opus A-Tr. Richard Violette-vanned off track- re injured RF sesamoid FX- retired,Steward's List
2012,12/31/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Inner Track, Start",Racing,Thoroughbred,Mostly Cloudy 20 to 30 : degrees F,Bail Out the Banks,RICHARD A. VIOLETTE JR,IRAD ORTIZ JR,Bail Out the Banks-Tr. Richard Violette-reared at start-unseating rider-ran loose to barn area-no injuries reported,Steward's List
2012,6/3/12,STEWARDS/VETS LIST,Belmont Park (NYRA),"Main Track, 1/8 Pole",Racing,Thoroughbred,Cloudy 60 to 65 : degrees F,Youwontseeme,STEVE N. KLESARIS,RAJIV C. MARAGH,Youwontseeme-Tr. Steve Klesaris-eased inside 1/8 pole-DNF-walked off track-bruised hip coming out of the gate-checked out fine,Steward's List
2012,4/19/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Post Parade,Racing,Thoroughbred,Clear 55 to 60 : degrees F,Zippy Kitty,ASSAF RONEN,SIMON P. HUSBANDS,Zippy Kitty-Tr. Assaf Ronen-unseated rider-ran off-scratched-no injuries reported,Steward's List
2013,2/7/13,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Inner Track, Finish of Race",Racing,Thoroughbred,Cloudy 20 to 30 : degrees F,Pure Afleet,NICK CANANI,CHANNING R. HILL,Pure Afleet-Tr. Nick Canani-never raced in contention-eased up-walked off,Equine Injury
2012,8/13/12,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),"Main Track, 1/8 Pole",Racing,Thoroughbred,Partly Cloudy 80 to 85 : degrees F,Sumo,NICK CANANI,JOEL ROSARIO,Sumo-Tr. Nick Canani-eased up-DNF-walked off track-over distanced-no injuries reported, 
2012,3/23/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Inner Track, 1/8 Pole",Racing,Thoroughbred,Clear 65 to 70 : degrees F,Walkinonbroadway,GEORGE A. TOPEY,JAIME RODRIGUEZ,Walkinonbroadway-Tr. George Topey-was eased into stretch-bled-must requalify,Steward's List
2012,3/15/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Inner Track, Finish of Race",Racing,Thoroughbred,Cloudy 50 to 55 : degrees F,Fastus Cactus,JOSEPH L. SIGNORE JR,ABEL LEZCANO,Fastus Cactus - Tr. Joseph Signore - pulled up - vanned off - sore feet - shoes slipped - given time off,Lameness
2013,4/27/13,STEWARDS/VETS LIST,Belmont Park (NYRA),Stretch,Racing,Thoroughbred, ,Mongol Boss,MIKE J. MAKER, ,Mongol Boss-Tr. Mike Maker-eased in stretch-walked off track-no injuries reported,Steward's List
2011,9/2/11,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),1/2 mile pole,Racing,Thoroughbred,80*,LANDLUBBER,MIKE J. MAKER,JULIEN R. LEPAROUX,Landlubber-Tr. Mike Maker-ambulanced off-fx RF pastern-sent to surgery,Steward's List
2013,6/6/13,STEWARDS/VETS LIST,Belmont Park (NYRA),After Finish,Racing,Thoroughbred, ,Punctual Jeff,MIKE J. MAKER,JAVIER J. CASTELLANO,Punctual Jeff-Tr. Michael Maker -pulled up-ambulanced off-no injuries reported-must requalify,Steward's List
2012,4/15/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,Clear 60 to 65 : degrees F,Viscount,CHAD C. BROWN,ANNA (ROSIE) R. NAPRAVNIK,Viscount-Tr. Chad Brown-pulled up-ambulanced off-old RF suspensory issue-working on issue,Steward's List
2012,11/11/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,Clear 60 to 65 : degrees F,P J's Superego,PATRICIA FARRO,RAMON A. DOMINGUEZ,P J's Superego-Tr. Patricia Farro-pulled up-ambulanced off-sore hind end-resting-must requalify,Equine Injury
2013,4/19/13,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),3/8 Pole,Racing,Thoroughbred, ,Venturia,BRUCE R. BROWN,JAVIER J. CASTELLANO,Veturia - TOR Bruce Brown - Bolted to outside rail & eased - no injuries reported - must requalify, 
2012,2/20/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Inner Track, 1/2 pole",Racing,Thoroughbred,Clear 45 to 50 : degrees F,Fiftyfivefiftyfive,BRUCE R. BROWN,ALAN GARCIA,Fiftyfivefiftyfive-Tr. Bruce Brown-did not like dirt in face-pulled up-no injuries reported,Steward's List
2013,4/28/13,STEWARDS/VETS LIST,Belmont Park (NYRA), ,Racing,Thoroughbred,65* Clear,Venturia,BRUCE R. BROWN,KEIBER COA,Veturia-Tr. Bruce Brown-eased thru the stretch-raced 3 wide-never raced in contention-to be rested and resume training,Steward's List
2012,7/4/12,STEWARDS/VETS LIST,Belmont Park (NYRA),"Widener Turf, 1/16 Pole",Racing,Thoroughbred,Sunny above 90 : degrees F,Hope Still Springs,BRUCE R. BROWN,ANNA (ROSIE) R. NAPRAVNIK,Hope Still Springs-Tr. Bruce Brown-pulled up-ambulanced off-took bad step-rested & getting ready to resume training, 
2012,12/1/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,Partly Cloudy 40 to 45 : degrees F,Well Heeled,LEAH A. GYARMATI,JOSE L. ORTIZ,Well Heeled-Tr. Leah Gyarmati-ambulanced off-swelling RF ankle-xrays revealed chip-will have surgery to remove chip & return to racing,Injury
2012,11/10/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Main Track, 1/8 Pole",Racing,Thoroughbred,Cloudy 50 to 55 : degrees F,Rutherford B.,ENRIQUE ARROYO,ARIEL E. SMITH,Rutherford B.-Tr. Enrique Arroyo-pulled up-walked off-no injuries reported-must requalify,Equine Injury
2013,5/25/13,STEWARDS/VETS LIST,Belmont Park (NYRA), ,Racing,Thoroughbred, ,Statley Cat,RAINDRANAUTH PERSAUD, ,Statley Cat - Tr. Randi Persaud - vanned off after finish - no injuries reported - must requalify,Steward's List
2013,6/12/13,STEWARDS/VETS LIST,Belmont Park (NYRA), ,Racing,Thoroughbred, ,Patriotic Duty,RAINDRANAUTH PERSAUD, ,Patriotic Duty-Tr. Randi Persaud-pulled up-ambulanced off-no injuries reported-must requalify, 
2012,12/14/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Inner Track, Finish of Race",Racing,Thoroughbred,Clear 50 to 55 : degrees F,Big Creek,RAINDRANAUTH PERSAUD,WILMER GARCIA,Big Creek-Tr. Raindranauth Persaud-pulled up-ambulanced off-strained RF tendon-given time off-must requalify,Injury
2012,6/30/12,STEWARDS/VETS LIST,Belmont Park (NYRA),1/4 Pole,Racing,Thoroughbred, ,Unstoppable U,KENNETH G. MC PEEK,JAVIER J. CASTELLANO,Unstoppable U - Tr. Kenneth McPeek - pulled up when horse made heavy breathing sounds - not unusual for this horse - to farm for rest-horse sound, 
2012,10/17/12,STEWARDS/VETS LIST,Belmont Park (NYRA),"Main Track, Finish of Race",Racing,Thoroughbred,Partly Cloudy 55 to 60 : degrees F,Same Old Wish,STEVEN M. ASMUSSEN,RAMON A. DOMINGUEZ,Same Old Wish-Tr. Steve Asmussen-pulled up-ambulanced off-RF suspensory-rest then re-evaluate,Equine Injury
2012,1/7/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Inner Track, 1/8 Pole",Racing,Thoroughbred,Sunny 55 to 60 : degrees F,I'LL Stake U,DEREK S. RYAN,JUNIOR R. ALVARADO,I'll Stake U-Tr. Derek Ryan-pulled up-ambulanced off-no injuries found,Steward's List
2012,9/1/12,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),"Main Track, Inside 1/8 pole",Racing,Thoroughbred,Clear 75 to 80 : degrees F,Stormin Bud,DAVID J. FAWKES,RAJIV C. MARAGH,Stormin Bud-Tr. David Fawkes-eased up-walked off track-no injury found-must requalify,Equine Injury
2013,5/3/13,STEWARDS/VETS LIST,Belmont Park (NYRA),Belmont Park,Racing,Thoroughbred,60* Clear,Reaching Out,RODOLFO (RUDY) RODRIGUEZ,IRAD ORTIZ JR,Reaching Out-Tr. Rudy Rodriguez-eased in stretch-never raced in contention-did not finish race -,Steward's List
2012,1/6/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Inner Track, Starting Gate and 1/2 pole",Racing,Thoroughbred,Clear 30 to 40 : degrees F,Bomber Boy,RODOLFO (RUDY) RODRIGUEZ,JOSE L. ORTIZ,Bomber Boy - Was pulled up @ the 1/2 mi. pole and taken off the track on horse ambulance.,Steward's List
2012,12/30/12,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),"Inner Track, Paddock / Starting",Racing,Thoroughbred,Clear 20 to 30 : degrees F,Oatka Idas Rose,RODOLFO (RUDY) RODRIGUEZ,ANGEL SAEZ-ARROYO,Oatka Idas Rose-Tr. Rudy Rodriguez-flipped in paddock-scratched by NYRA Vet-no injuries reported-must requalify,Steward's List
