"","country","year","ISO2","ISO3","region","subregionid","cap.lat","cap.long","Reg.Market","Unreg.Market","Reg.Market.Bordering","Unreg.Market.Bordering","Armed.Conflict","Non.State.Conflict","High.Illegal","NGDP_RPCH","NGDPD","PCPI","PCPIPCH","GGX_NGDP","GGXWDG_NGDP","BCA","GNI","Resource.Depletion","Adult.literacy","Primary.ed.enrollment","Mean.Schooling","Pop.MultiDim.Povert","Deprivation.Intensity","Pop.Below.National.Poverty","PPP.125.day","International.Dev.Aid","Voice.Accountability","Political.Stability","Government.Effectiveness","Rule.Law","Corruption.Control","Reg.Quality","Non.State.Conflict.Deaths","PIKE.regional","Definite.Possible","Elephant.range","Tot.Carcasses","Illegal.Carcasses","Percent.Illegal"
"23","Central Africa Republic",2013,"CF","CAF","Central Africa","FC",4.23,18.35,0,0,0,4,1,1,2,-8.52925417966567,-0.354652429077195,-0.200537525670023,-0.0310327620842315,-1.0796013653261,0.0636918998181786,0.163372472033967,-0.735003004238018,-0.774667229047591,-0.446795538687525,-0.367618207369197,-0.427549470276286,-0.622749867298955,0.579818686586877,1.17231406563908,0.910623160735695,-0.631585966938622,-1.33880130497463,-1.76743081924255,-1.62090827734122,-1.78616828017381,-0.685721308476591,-0.832778977071679,1.25975403579961,0.934894217556811,-0.512575039422283,-0.133180533290767,-0.0464923043801555,0.383653014049561,1.40330858657385
"24","Central Africa Republic",2014,"CF","CAF","Central Africa","FC",4.23,18.35,0,0,0,4,0,1,2,-0.781378958179119,-0.352531704577654,-0.143206053305161,0.546018653431145,-0.97562348429943,-0.128762027546607,0.149084908698596,-0.736410952416341,0.714817388089053,-0.446795538687525,-0.367618207369197,-0.381275239082763,-0.622749867298955,0.579818686586877,1.17231406563908,0.910623160735695,-0.408614957348037,-1.18628214462096,-2.30985674117539,-1.94398467146116,-1.62561898209392,-0.87035472312017,-1.15693108419417,4.99160014707592,1.15042466435309,-0.489046423835025,0.56405024438401,-0.132610357416628,0.0279664928105943,0.63190579639204
"25","Central Africa Republic",2015,"CF","CAF","Central Africa","FC",4.23,18.35,0,0,0,4,0,1,2,0.194188027368989,-0.352399709276852,-0.120489212254711,-0.163764001215827,-0.346545461504834,-0.119773794675175,0.128769779581114,-1.14325707903351,0.2360724435014,-0.446795538687525,-0.367618207369197,-0.103809379427862,-0.622749867298955,0.579818686586877,1.17231406563908,0.910623160735695,0.389024196432076,-0.68014437970244,-0.982752236784528,-1.07932781532535,-1.0896284515564,-0.326995672144561,-0.691979661000545,-0.234032680090493,1.04717935954299,0.95638958507786,-0.269129840430271,-0.11108084415751,0.0872475796837555,0.746592725212237
"31","Chad",2008,"TD","TCD","Central Africa","FC",12.1,14.59,0,0,0,4,1,0,2,-0.354228647104369,-0.276722403484072,-0.319946437085066,0.0665786456350216,-0.582094442554994,-0.610689925329579,0.260036767724842,-0.405668840169153,-0.369994974252552,-1.52110354410581,-0.714992475146634,-0.815290893211929,-0.282238654895102,1.66175676339678,0.0715359425408645,-0.392320312950277,-0.4100141970026,-1.24174365747684,-1.53496256698562,-1.43386404916652,-1.41690489459006,-1.37390039942084,-0.804591837321897,-0.234032680090493,1.03436987284179,-0.512719749793213,0.215664030153721,0.394862717431767,1.11478641881855,1.30264206469989
"34","Chad",2011,"TD","TCD","Central Africa","FC",12.1,14.59,0,0,0,4,0,0,2,-0.975196059679997,-0.261173357049672,-0.294076170248322,-0.400189258043247,-0.164051253461447,-0.594013228555868,0.0204968386802499,-0.418088954456505,0.176063044837685,-1.52110354410581,-0.714992475146634,-1.44995037745871,-0.282238654895102,1.66175676339678,0.0715359425408645,-0.392320312950277,-0.451785764226981,-1.10308987533714,-0.815417976666538,-1.11078765504658,-1.17608094747022,-1.05498813776375,-0.593188289198533,-0.234032680090493,1.77446918937567,-0.50230463055565,0.294137297175793,-0.455553056303401,-0.387001115301534,0.664433140507304
"36","Chad",2014,"TD","TCD","Central Africa","FC",12.1,14.59,0,0,0,4,0,0,2,0.448638310569171,-0.24551871437463,-0.265890144397859,-0.415395782984673,-0.202184371560065,-0.499901143196165,-0.098491774722143,-0.358125447218987,0.343719074630262,-1.52110354410581,-0.714992475146634,-0.173709697870383,-0.282238654895102,1.66175676339678,0.0715359425408645,-0.392320312950277,-0.568864739474357,-1.06149374069523,-1.04788622892347,-1.33183992470759,-0.646268263806587,-1.00463357013368,-0.818685407196788,-0.234032680090493,1.15042466435309,-0.584886880139477,-0.0113860966768631,-0.487847326192078,-0.426521839883641,0.764538846103417
"37","Congo Republic",2003,"CG","COG","Central Africa","FC",-4.09,15.12,0,1,0,3,0,0,1,-0.822567705747267,-0.337422642479258,-0.362657702175096,-0.414744074772898,0.712181481978541,3.45203539252287,0.181008683026067,0.0739386500039637,3.11535481850883,-0.0794683215908815,-0.91809707046532,0.19177647097793,-0.694859290956864,-1.08118483978326,0.0571466860297767,-0.575624147651346,-0.734634089438882,-0.29889793892687,-0.682578975376862,-1.04277157207396,-0.75865277246251,-0.517872749709701,-0.720030418072552,-0.234032680090493,0.42040745746052,0.200409399315573,-0.563271454411892,-0.0357275477505964,-0.347480390719426,-0.911741008388359
"38","Congo Republic",2004,"CG","COG","Central Africa","FC",-4.09,15.12,0,1,0,3,0,0,1,-0.265578753861249,-0.327285403377713,-0.354539152699032,-0.271368268182304,0.348969453380833,3.32661870199085,0.0635827718634804,0.0739386500039637,2.64319149191319,1.0634274490482,-0.60179973752011,-0.165346481182993,-0.694859290956864,-1.08118483978326,0.0571466860297767,-0.575624147651346,-0.730793598555551,-0.534609368564362,-0.616159474732024,-0.719695177954023,-0.694433053230553,-0.350024190942811,-0.53681400969897,-0.234032680090493,0.56805145316794,0.238454755897335,0.241139280215103,0.00733147876763993,-0.0313145940625668,-0.0486447567781739
"39","Congo Republic",2005,"CG","COG","Central Africa","FC",-4.09,15.12,0,1,0,3,0,0,1,0.629074296108823,-0.314587455440622,-0.348884901984149,-0.35855234451315,0.0454440444157444,1.33493204159759,0.179669223963376,-0.0103371052413859,3.59869203082468,1.06143546306925,-0.344107449087786,0.283685943415834,-0.694859290956864,-1.08118483978326,0.0571466860297767,-0.575624147651346,1.18849320202918,-0.714859285345973,-0.638299308280303,-0.991759509844498,-1.19213587727821,-0.652151596723213,-1.00190181557037,-0.234032680090493,-0.278812211212862,0.0730900295904369,1.03354653721608,0.297979907765735,-0.426521839883641,-1.2291630216511
"41","Congo Republic",2007,"CG","COG","Central Africa","FC",-4.09,15.12,0,1,0,3,0,0,2,-1.32331415460876,-0.294268978803933,-0.331561758321066,-0.349211193477702,0.720589716093453,1.10771480180359,0.0515276402992604,-0.0103371052413859,1.65713081034753,0.485932760213584,0.197147234585536,-0.990142143433969,-0.694859290956864,-1.08118483978326,0.0571466860297767,-0.575624147651346,-0.693077818474515,-0.950570714983465,-0.195502637314717,-1.09378363430343,-0.790762632078488,-0.769645587860036,-0.84687254694657,-0.234032680090493,1.04501944851147,-0.0914732326234922,0.389020627965101,-0.132610357416628,0.205809753430078,1.31385839025688
